Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAfPc000001IuXpKAK,Redwood IV at Vineyard Park,Lennar,,Active,,,RESIDENCE 3141,5,3.5,2,3,3141,759990,12/4/2025,aAaPc000000PV5fKAG,Non Active Adult,95829,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sierra-Enterprise Elementary School,6,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Florin / Vineyard,38.49147,-121.37285
aAfPc000001IuXpKAK,Redwood IV at Vineyard Park,Lennar,,Active,,,RESIDENCE 3427,5,3.5,2,3,3427,787990,12/4/2025,aAaPc000000PV5gKAG,Non Active Adult,95829,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sierra-Enterprise Elementary School,6,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Florin / Vineyard,38.49147,-121.37285
aAfPc000001IuXpKAK,Redwood IV at Vineyard Park,Lennar,,Active,,,RESIDENCE 1950,3,2,1,2,1950,681990,12/4/2025,aAaPc000000PV5hKAG,Non Active Adult,95829,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sierra-Enterprise Elementary School,6,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Florin / Vineyard,38.49147,-121.37285
aAfPc000001IuXpKAK,Redwood IV at Vineyard Park,Lennar,,Active,,,RESIDENCE 2689,4,3,2,3,2689,754990,12/4/2025,aAaPc000000PV5iKAG,Non Active Adult,95829,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sierra-Enterprise Elementary School,6,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Florin / Vineyard,38.49147,-121.37285
aAfPc000001cPknKAE,Melody at Arbor Ranch,Lennar,,Active,,,Residence 1651,4,2.5,2,2,1651,612251,12/4/2025,aAaPc000000bf4OKAQ,Non Active Adult,95757,Elk Grove,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Zehnder Ranch Elementary,8,Elizabeth Pinkerton Middle School,8,Cosumnes Oaks High School,10,Laguna / Elk Grove,38.38656,-121.40419
aAfPc000001ct7vKAA,Vernon at Liberty Ranch,Meritage Homes,,Active,,,Residence 4,4,3,2,3,2916,743431,10/13/2025,aAaPc000000cKo4KAE,Non Active Adult,95632,Galt,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Galt Joint Union Elementary School District,Marengo Ranch Elementary School,5,Mccaffrey Middle School,6,Liberty Ranch High School,8,South Sacramento County,38.28052,-121.27939
aAfPc000001ct7vKAA,Vernon at Liberty Ranch,Meritage Homes,,Active,,,Residence 3,4,3,2,2,2698,725043,10/13/2025,aAaPc000000cKo5KAE,Non Active Adult,95632,Galt,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Galt Joint Union Elementary School District,Marengo Ranch Elementary School,5,Mccaffrey Middle School,6,Liberty Ranch High School,8,South Sacramento County,38.28052,-121.27939
aAfPc000001ct7vKAA,Vernon at Liberty Ranch,Meritage Homes,,Active,,,Residence 2,4,3,1,2,2515,717764,10/13/2025,aAaPc000000dANrKAM,Non Active Adult,95632,Galt,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Galt Joint Union Elementary School District,Marengo Ranch Elementary School,5,Mccaffrey Middle School,6,Liberty Ranch High School,8,South Sacramento County,38.28052,-121.27939
aAfPc000001ct7vKAA,Vernon at Liberty Ranch,Meritage Homes,,Active,,,Residence 1,4,2.5,1,2,2239,650000,10/13/2025,aAaPc000000dANsKAM,Non Active Adult,95632,Galt,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Galt Joint Union Elementary School District,Marengo Ranch Elementary School,5,Mccaffrey Middle School,6,Liberty Ranch High School,8,South Sacramento County,38.28052,-121.27939
aAfPc000001XcdpKAC,Porter and Main,Fieldstone Communities,,Active,,,Residence 1,3,3.5,1,2,2556,808900,10/22/2025,aAaPc000000dUxVKAU,Non Active Adult,95678,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,William Kaseberg Elementary School,7,George A. Buljan Middle School,4,Roseville High School,8,Roseville,38.75298,-121.30271
aAfPc000001XcdpKAC,Porter and Main,Fieldstone Communities,,Active,,,Residence 2,4,3.5,1,2,2587,825900,10/22/2025,aAaPc000000dUz7KAE,Non Active Adult,95678,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,William Kaseberg Elementary School,7,George A. Buljan Middle School,4,Roseville High School,8,Roseville,38.75298,-121.30271
